timestamp,tool,scenario,iteration,phase,duration_ms,exit_code
2025-12-24T15:47:14.5005811Z,dbt,S4,9,measured,30207,0
2025-12-24T15:47:43.9681602Z,dbt,S4,10,measured,29467,0
2025-12-24T15:48:14.7857072Z,dbt,S4,11,measured,30816,0
2025-12-24T15:48:45.0605337Z,dbt,S4,12,measured,30274,0
2025-12-24T15:49:15.8028086Z,dbt,S4,13,measured,30740,0
2025-12-24T15:49:45.7503681Z,dbt,S4,14,measured,29946,0
2025-12-24T15:50:15.1400139Z,dbt,S4,15,measured,29389,0
2025-12-24T15:50:44.6195936Z,dbt,S4,16,measured,29479,0
2025-12-24T15:51:14.1980567Z,dbt,S4,17,measured,29577,0
2025-12-24T15:51:43.9108198Z,dbt,S4,18,measured,29711,0
2025-12-24T15:52:14.4098792Z,dbt,S4,19,measured,30498,0
2025-12-24T15:52:44.0645753Z,dbt,S4,20,measured,29654,0
2025-12-24T15:53:01.5125953Z,sql_test_kit,S4,1,measured,15771,0
2025-12-24T15:53:17.5908065Z,sql_test_kit,S4,2,measured,16071,0
2025-12-24T15:53:33.8280747Z,sql_test_kit,S4,3,measured,16236,0
2025-12-24T15:53:49.8828494Z,sql_test_kit,S4,4,measured,16054,0
2025-12-24T15:54:05.9590854Z,sql_test_kit,S4,5,measured,16075,0
2025-12-24T15:54:22.0967530Z,sql_test_kit,S4,6,measured,16137,0
2025-12-24T15:54:38.1663582Z,sql_test_kit,S4,7,measured,16068,0
2025-12-24T15:54:54.2348775Z,sql_test_kit,S4,8,measured,16068,0
2025-12-24T15:55:10.2634678Z,sql_test_kit,S4,9,measured,16027,0
2025-12-24T15:55:26.4200586Z,sql_test_kit,S4,10,measured,16156,0
2025-12-24T15:55:42.5014882Z,sql_test_kit,S4,11,measured,16081,0
2025-12-24T15:55:58.5901916Z,sql_test_kit,S4,12,measured,16087,0
2025-12-24T15:56:14.6486501Z,sql_test_kit,S4,13,measured,16057,0
2025-12-24T15:56:30.6809960Z,sql_test_kit,S4,14,measured,16031,0
2025-12-24T15:56:46.9024278Z,sql_test_kit,S4,15,measured,16220,0
2025-12-24T15:57:02.9300800Z,sql_test_kit,S4,16,measured,16027,0
2025-12-24T15:57:18.9074118Z,sql_test_kit,S4,17,measured,15975,0
2025-12-24T15:57:35.1624734Z,sql_test_kit,S4,18,measured,16255,0
2025-12-24T15:57:51.1952693Z,sql_test_kit,S4,19,measured,16032,0
2025-12-24T15:58:07.2212271Z,sql_test_kit,S4,20,measured,16024,0
2025-12-24T15:58:12.3829309Z,pytest_sqlalchemy,S6,1,measured,3382,0
2025-12-24T15:58:15.7309370Z,pytest_sqlalchemy,S6,2,measured,3340,0
2025-12-24T15:58:19.0924920Z,pytest_sqlalchemy,S6,3,measured,3361,0
2025-12-24T15:58:22.3965142Z,pytest_sqlalchemy,S6,4,measured,3303,0
2025-12-24T15:58:25.8231131Z,pytest_sqlalchemy,S6,5,measured,3426,0
2025-12-24T15:58:29.1911389Z,pytest_sqlalchemy,S6,6,measured,3366,0
2025-12-24T15:58:32.6454423Z,pytest_sqlalchemy,S6,7,measured,3453,0
2025-12-24T15:58:35.9698699Z,pytest_sqlalchemy,S6,8,measured,3323,0
2025-12-24T15:58:39.2975309Z,pytest_sqlalchemy,S6,9,measured,3328,0
2025-12-24T15:58:42.6181212Z,pytest_sqlalchemy,S6,10,measured,3319,0
2025-12-24T15:58:45.9475372Z,pytest_sqlalchemy,S6,11,measured,3328,0
2025-12-24T15:58:49.2897319Z,pytest_sqlalchemy,S6,12,measured,3341,0
2025-12-24T15:58:52.5913946Z,pytest_sqlalchemy,S6,13,measured,3301,0
2025-12-24T15:58:55.9342236Z,pytest_sqlalchemy,S6,14,measured,3342,0
2025-12-24T15:58:59.2646075Z,pytest_sqlalchemy,S6,15,measured,3330,0
2025-12-24T15:59:02.5823697Z,pytest_sqlalchemy,S6,16,measured,3316,0
2025-12-24T15:59:05.9057448Z,pytest_sqlalchemy,S6,17,measured,3322,0
2025-12-24T15:59:09.2030029Z,pytest_sqlalchemy,S6,18,measured,3296,0
2025-12-24T15:59:12.5023410Z,pytest_sqlalchemy,S6,19,measured,3299,0
2025-12-24T15:59:15.8530501Z,pytest_sqlalchemy,S6,20,measured,3349,0
2025-12-24T15:59:41.7323248Z,pytest_testcontainers,S6,1,measured,24671,0
2025-12-24T16:00:06.4451431Z,pytest_testcontainers,S6,2,measured,24704,0
2025-12-24T16:00:31.1260383Z,pytest_testcontainers,S6,3,measured,24679,0
2025-12-24T16:00:55.7784435Z,pytest_testcontainers,S6,4,measured,24651,0
2025-12-24T16:01:20.3781364Z,pytest_testcontainers,S6,5,measured,24598,0
2025-12-24T16:01:44.9473657Z,pytest_testcontainers,S6,6,measured,24568,0
2025-12-24T16:02:09.5596236Z,pytest_testcontainers,S6,7,measured,24610,0
2025-12-24T16:02:34.0599867Z,pytest_testcontainers,S6,8,measured,24499,0
2025-12-24T16:02:58.5526201Z,pytest_testcontainers,S6,9,measured,24492,0
2025-12-24T16:03:23.2029892Z,pytest_testcontainers,S6,10,measured,24649,0
2025-12-24T16:03:47.8499061Z,pytest_testcontainers,S6,11,measured,24646,0
2025-12-24T16:04:12.3889251Z,pytest_testcontainers,S6,12,measured,24538,0
2025-12-24T16:04:37.0391466Z,pytest_testcontainers,S6,13,measured,24649,0
2025-12-24T16:05:01.5608133Z,pytest_testcontainers,S6,14,measured,24520,0
2025-12-24T16:05:25.9091163Z,pytest_testcontainers,S6,15,measured,24340,0
2025-12-24T16:05:50.5422607Z,pytest_testcontainers,S6,16,measured,24633,0
